Job Title,"Total Pay
Base | Bonus | Stock",Years of Experience,Date Submitted


"SWE II
Mountain View, CA","$202K
$148K | $22K | $32K",1-3 years,"Jan 31, 2024"

"SWE II
Mountain View, CA","$207K
$143K | $30K | $34K",1-3 years,"Jan 30, 2024"

"SWE II
Sunnyvale, CA","$177K
$142K | $10K | $25K",1-3 years,"Jan 30, 2024"

"SWE II
Kirkland, WA","$179K
$136K | $18K | $25K",1-3 years,"Jan 28, 2024"

"SWE II
Sunnyvale, CA","$318K
$181K | $35K | $102K",4-6 years,"Jan 26, 2024"

"SWE II
Irvine, CA","$197K
$132K | $15K | $50K",1-3 years,"Dec 20, 2023"

"SWE II
Mountain View, CA","$250K
$165K | $24K | $61K",4-6 years,"Dec 11, 2023"

"SWE II
Sunnyvale, CA","$233K
$178K | $25K | $30K",1-3 years,"Dec 11, 2023"

"SWE II
Mountain View, CA","$194K
$143K | $17K | $34K",1-3 years,"Nov 27, 2023"

"SWE II
Mountain View, CA","$301K
$162K | $30K | $109K",4-6 years,"Nov 25, 2023"
